orb_id,Tier_manual,Type,Intensity_auto,Stage_calc,relationship_context,Prompt Text,Tier_from_intensity,Tier_mismatch_flag,stage_v2,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,memory_hook,target_gender,min_players,max_players,escalation_weight
ORB0001,explore,truth,2.0,1,group,Who here gives the most trustworthy vibe?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0002,explore,truth,2.0,1,group,What’s your favorite way to relax after a long day?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0003,explore,truth,2.0,1,group,What’s a small thing that makes you instantly happy?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0004,explore,truth,2.0,1,group,What’s the best compliment someone could give you?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0005,explore,truth,2.0,1,group,What kind of music instantly lifts your mood?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0006,explore,truth,2.0,1,group,What’s one thing people often misunderstand about you?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0007,explore,truth,2.0,1,group,What’s something you’re quietly proud of?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0008,explore,truth,2.0,1,group,"If you could live anywhere for a year, where would it be?",1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0009,explore,truth,2.1,1,group,Who in this room seems the most adventurous?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0010,explore,truth,2.1,1,group,What’s something you wish people noticed about you more?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0011,explore,dare,2.0,1,group,Give someone in the room a genuine compliment.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0012,explore,dare,2.0,1,group,Strike your best “magazine cover” pose.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0013,explore,dare,2.0,1,group,Smile dramatically like you’re in a romantic movie scene.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0014,explore,dare,2.0,1,group,Introduce yourself like a celebrity arriving at a party.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0015,explore,dare,2.0,1,group,Do a slow confident walk across the room.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0016,explore,dare,2.0,1,group,Describe yourself using only three words.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0017,explore,dare,2.1,1,group,Give someone a playful nickname for the rest of the round.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0018,explore,dare,2.1,1,group,Imitate a movie character flirting.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0019,explore,truth,2.0,1,requires_partner,What was your first impression of your partner?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0020,explore,truth,2.0,1,requires_partner,What’s something your partner does that you appreciate?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0021,explore,truth,2.0,1,requires_partner,What’s a small moment with your partner you still remember?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0022,explore,truth,2.0,1,requires_partner,What’s one thing your partner does better than you?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0023,explore,truth,2.1,1,requires_partner,What’s something about your partner’s personality you admire?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0024,explore,truth,2.1,1,requires_partner,What’s something that always makes you smile about them?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0025,explore,truth,2.1,1,requires_partner,What’s something fun you’d like to do together soon?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0026,explore,truth,2.1,1,requires_partner,What’s a quality you hope never changes in your partner?,1,True,playful,single,none,none,0,cognitive,truth,,any,2,99,1
ORB0027,explore,dare,2.0,1,requires_partner,Give your partner a warm 10-second hug.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0028,explore,dare,2.0,1,requires_partner,Look into your partner’s eyes for 8 seconds.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0029,explore,dare,2.0,1,requires_partner,Say one thing you appreciate about your partner.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
ORB0030,explore,dare,2.0,1,requires_partner,Hold hands until the next round begins.,1,True,playful,single,relative,player_choice,2,playful,dare,,any,2,99,1
