curated_id,orb_id,Type,Prompt Text,Intensity_curated,Stage_curated,Tier_manual,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,target_gender,min_players,max_players,escalation_weight
CPL0001,ORB0019,truth,What was your first impression of your partner?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0002,ORB0020,truth,What’s something your partner does that you appreciate?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0003,ORB0021,truth,What’s a small moment with your partner you still remember?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0004,ORB0022,truth,What’s one thing your partner does better than you?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0005,ORB0027,dare,Give your partner a warm 10-second hug.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0006,ORB0028,dare,Look into your partner’s eyes for 8 seconds.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0007,ORB0029,dare,Say one thing you appreciate about your partner.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0008,ORB0023,truth,What’s something about your partner’s personality you admire?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0009,ORB0024,truth,What’s something that always makes you smile about them?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0010,ORB0025,truth,What’s something fun you’d like to do together soon?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0011,ORB0026,truth,What’s a quality you hope never changes in your partner?,2.1,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
CPL0012,ORB0032,dare,Give your partner a playful compliment.,2.1,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0013,ORB1445,truth,What's one thing your partner does that always makes you smile?,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0014,ORB1446,dare,Describe your partner using only dessert names.,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
CPL0015,ORB1447,dare,Share your favorite memory with your partner.,2.6,playful,soft,single,relative,player_choice,2,playful,dare,any,2,99,1
