curated_id,orb_id,Type,Prompt Text,Intensity_curated,Stage_curated,Tier_manual,focus_type,target_style,target_method,interaction_level,energy_type,cooldown_group,target_gender,min_players,max_players,escalation_weight
GRP0001,ORB0001,truth,Who here gives the most trustworthy vibe?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0002,ORB0002,truth,What’s your favorite way to relax after a long day?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0003,ORB0003,truth,What’s a small thing that makes you instantly happy?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0004,ORB0004,truth,What’s the best compliment someone could give you?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0005,ORB0005,truth,What kind of music instantly lifts your mood?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0006,ORB0006,truth,What’s one thing people often misunderstand about you?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0007,ORB0007,truth,What’s something you’re quietly proud of?,2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0008,ORB0008,truth,"If you could live anywhere for a year, where would it be?",2.0,playful,explore,single,none,none,0,cognitive,truth,any,2,99,1
GRP0009,ORB0011,dare,Give someone in the room a genuine compliment.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0010,ORB0012,dare,Strike your best “magazine cover” pose.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0011,ORB0013,dare,Smile dramatically like you’re in a romantic movie scene.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0012,ORB0014,dare,Introduce yourself like a celebrity arriving at a party.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0013,ORB0015,dare,Do a slow confident walk across the room.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
GRP0014,ORB0016,dare,Describe yourself using only three words.,2.0,playful,explore,single,relative,player_choice,2,playful,dare,any,2,99,1
